,count,mean,std,min,25%,50%,75%,max
BPM_mean,1850.0,122.50520576844794,31.01450151488883,70.08569819343138,94.2926066082423,125.80864111872356,151.71901407706218,195.24191117734225
SDNN,1850.0,80.51078772164456,48.64581480532951,4.494406748750588,33.69973743653261,80.0171826227236,115.46755972483479,193.79470610027047
RMSSD,1850.0,92.60437180430571,56.84709880084708,1.8117833956309015,34.54677025365202,103.05201124994238,142.0363723699458,215.7670360315504
pNN50,1850.0,34.465701775770036,27.923591304405647,0.0,4.389799635701276,35.02039775624681,62.75862068965517,80.55555555555556
VLF,1850.0,289.5528501890297,790.5007666552781,0.0,0.0,54.228428434715326,226.87261386386058,10064.478998771365
LF,1850.0,2457.1950028504925,3531.712525395925,0.0272426450953749,193.67537201779993,762.275798280838,3386.240900704335,21994.835044783336
HF,1850.0,2439.7791038162186,2424.250677808482,0.3652242038957184,148.9622514679281,1713.023719356801,4224.709409338576,11585.437581028442
LF_HF_ratio,1850.0,2.1651152875590136,3.5350447756898395,8.218544383565765e-05,0.4173479640970345,0.8378264473017866,2.1420808320568745,29.0409090429023
SD1,1850.0,65.80842676634525,40.41723590536726,1.2804663959651217,24.51060376125407,73.25180782831464,100.94103458588197,153.72922686931156
SD2,1850.0,91.52343017850572,57.93188272856904,4.887686529489527,39.03705096669432,82.10266924320331,131.0377396636131,248.92025202253652
SD1_SD2_ratio,1850.0,0.724954524692813,0.2833000200619568,0.0900934017216063,0.543020684064,0.7157997251773649,0.9027794862810474,1.8431348418375928
SampEn,1850.0,1.2511261258336608,0.6171684426333034,0.0,0.7969171759338048,1.2597769011598428,1.6742358875762606,3.393904433209071
DFA_alpha1,1850.0,0.8240324414249302,0.2735258296202584,0.0,0.656095451245722,0.8099682476649983,0.9914554337083097,1.6956359317483105
